142) High: 40.000; Low: 39.955; Close: 39.990 | 2023-05-25T19:55:00Z
143) High: 39.960; Low: 39.940; Close: 39.945 | 2023-05-25T19:56:00Z
144) High: 39.945; Low: 39.940; Close: 39.945 | 2023-05-25T19:57:00Z
145) High: 39.945; Low: 39.925; Close: 39.925 | 2023-05-25T19:58:00Z
146) High: 39.920; Low: 39.885; Close: 39.885 | 2023-05-25T19:59:00Z
147) High: 39.915; Low: 39.875; Close: 39.890 | 2023-05-25T20:00:00Z
148) High: 39.930; Low: 39.870; Close: 39.900 | 2023-05-25T20:01:00Z
149) High: 39.900; Low: 39.870; Close: 39.870 | 2023-05-25T20:02:00Z
150) High: 39.865; Low: 39.750; Close: 39.770 | 2023-05-25T20:03:00Z
151) High: 39.800; Low: 39.785; Close: 39.790 | 2023-05-25T20:04:00Z
152) High: 39.800; Low: 39.780; Close: 39.785 | 2023-05-25T20:05:00Z
153) High: 39.800; Low: 39.765; Close: 39.790 | 2023-05-25T20:06:00Z
